Id,zip,Geography,Estimate; Total,Margin of Error; Total,sameDay,oneHour,twoHour
8600000US72531,72531,ZCTA5 72531,648,241,false,false,false
8600000US72532,72532,ZCTA5 72532,2172,442,false,false,false
8600000US72533,72533,ZCTA5 72533,535,190,false,false,false
8600000US72534,72534,ZCTA5 72534,1669,424,false,false,false
8600000US72536,72536,ZCTA5 72536,316,128,false,false,false
8600000US72537,72537,ZCTA5 72537,508,140,false,false,false
8600000US72538,72538,ZCTA5 72538,456,256,false,false,false
8600000US72539,72539,ZCTA5 72539,106,75,false,false,false
8600000US72540,72540,ZCTA5 72540,219,139,false,false,false
8600000US72542,72542,ZCTA5 72542,3628,363,false,false,false
8600000US72543,72543,ZCTA5 72543,12643,679,false,false,false
8600000US72544,72544,ZCTA5 72544,591,233,false,false,false
8600000US72546,72546,ZCTA5 72546,246,93,false,false,false
8600000US72550,72550,ZCTA5 72550,844,246,false,false,false
8600000US72553,72553,ZCTA5 72553,69,64,false,false,false
8600000US72554,72554,ZCTA5 72554,2854,419,false,false,false
8600000US72555,72555,ZCTA5 72555,139,127,false,false,false
8600000US72556,72556,ZCTA5 72556,2838,351,false,false,false
8600000US72560,72560,ZCTA5 72560,8783,522,false,false,false
8600000US72561,72561,ZCTA5 72561,919,228,false,false,false
8600000US72562,72562,ZCTA5 72562,2592,312,false,false,false
8600000US72564,72564,ZCTA5 72564,686,224,false,false,false
8600000US72565,72565,ZCTA5 72565,930,239,false,false,false
8600000US72566,72566,ZCTA5 72566,527,219,false,false,false
8600000US72567,72567,ZCTA5 72567,399,206,false,false,false
8600000US72568,72568,ZCTA5 72568,1362,314,false,false,false
8600000US72569,72569,ZCTA5 72569,465,197,false,false,false
8600000US72571,72571,ZCTA5 72571,356,189,false,false,false
8600000US72572,72572,ZCTA5 72572,221,154,false,false,false
8600000US72573,72573,ZCTA5 72573,257,153,false,false,false
8600000US72576,72576,ZCTA5 72576,4331,502,false,false,false
8600000US72577,72577,ZCTA5 72577,697,218,false,false,false
8600000US72578,72578,ZCTA5 72578,342,199,false,false,false
8600000US72579,72579,ZCTA5 72579,1043,275,false,false,false
8600000US72581,72581,ZCTA5 72581,1091,368,false,false,false
8600000US72583,72583,ZCTA5 72583,1645,327,false,false,false
8600000US72584,72584,ZCTA5 72584,817,276,false,false,false
8600000US72585,72585,ZCTA5 72585,196,209,false,false,false
