year,name,show,network,rank
2011,TV Guide Matt Roush,Breaking Bad,AMC,3
2011,TV Guide Matt Roush,The Big Bang Theory,CBS,5
2011,TV Guide Matt Roush,Community,NBC,7
2011,TV Guide Matt Roush,Game of Thrones,HBO,8
2011,TV Guide Matt Roush,Justified,FX,9
2011,TV Guide Staff,Homeland,Showtime,1
2011,TV Guide Staff,Breaking Bad,AMC,2
2011,TV Guide Staff,Game of Thrones,HBO,3
2011,TV Guide Staff,Parks and Recreation,NBC,4
2011,TV Guide Staff,Modern Family,ABC,5
2011,TV Guide Staff,Curb Your Enthusiasm,HBO,6
2011,TV Guide Staff,Revenge,ABC,7
2011,TV Guide Staff,American Horror Story,FX,8
2011,TV Guide Staff,The Walking Dead,AMC,9
2011,TV Guide Staff,Friday Night Lights,DirecTV/NBC,10
2011,USA Today Robert Bianco,Homeland,Showtime,2
2011,USA Today Robert Bianco,Modern Family,ABC,4
2011,USA Today Robert Bianco,Justified,FX,5
2011,USA Today Robert Bianco,The Good Wife,CBS,6
2011,USA Today Robert Bianco,True Blood,HBO,7
2011,USA Today Robert Bianco,The Big Bang Theory,CBS,8
2011,USA Today Robert Bianco,Community,NBC,9
2011,USA Today Robert Bianco,Breaking Bad,AMC,10
2011,Washington Post Hank Stuever,Downton Abbey,PBS,1
2011,Washington Post Hank Stuever,Enlightened,HBO,2
2011,Washington Post Hank Stuever,Homeland,Showtime,3
2011,Washington Post Hank Stuever,Storage Wars,A&E,4
2011,Washington Post Hank Stuever,Breaking Bad,AMC,5
2011,Washington Post Hank Stuever,The Walking Dead,AMC,6
2011,Washington Post Hank Stuever,American Horror Story,FX,7
2011,Washington Post Hank Stuever,Game of Thrones,HBO,8
2011,Washington Post Hank Stuever,Modern Family,ABC,9
2011,Washington Post Hank Stuever,The Office,NBC,10
2012,A.V. Club Staff consensus,Breaking Bad,AMC,1
2012,A.V. Club Staff consensus,Mad Men,AMC,2
2012,A.V. Club Staff consensus,Louie,FX,3
2012,A.V. Club Staff consensus,Homeland,Showtime,4
2012,A.V. Club Staff consensus,Parks and Recreation,NBC,5
2012,A.V. Club Staff consensus,Girls,HBO,6
2012,A.V. Club Staff consensus,Game of Thrones,HBO,7
2012,A.V. Club Staff consensus,Community,NBC,8
2012,A.V. Club Staff consensus,30 Rock,NBC,9
2012,A.V. Club Staff consensus,Bob's Burgers,Fox,10
2012,Blast Magazine,Game of Thrones,HBO,1
2012,Blast Magazine,Breaking Bad,AMC,2
2012,Blast Magazine,Louie,FX,3
2012,Blast Magazine,Homeland,Showtime,5
2012,Blast Magazine,The Walking Dead,AMC,7
2012,Blast Magazine,New Girl,Fox,8
2012,Blast Magazine,Community,NBC,9
2012,Blast Magazine,Parks and Recreation,NBC,10
2012,Boob Tube Dude Ryan McGee,Louie,FX,1
2012,Boob Tube Dude Ryan McGee,Spartacus: Vengeance,Starz,2
2012,Boob Tube Dude Ryan McGee,Parks and Recreation,NBC,3
2012,Boob Tube Dude Ryan McGee,Homeland,Showtime,4
2012,Boob Tube Dude Ryan McGee,Breaking Bad,AMC,5
2012,Boob Tube Dude Ryan McGee,Cougar Town,ABC,6
2012,Boob Tube Dude Ryan McGee,Girls,HBO,7
2012,Boob Tube Dude Ryan McGee,Sherlock,PBS,8
