ID,Posted at,Screen name,Text
781869135827435520,2016-09-30 14:51:43 +0000,nytgraphics,"If Clinton wins Florida and Pennsylvania, Trump needs every other battleground state to win https://t.co/lzrIDB1iNK https://t.co/S42FO1n3dn"
781863031437426688,2016-09-30 14:27:27 +0000,nytgraphics,What states does Trump need to win the election? Choose a winner state by state to find his paths to victory:… https://t.co/2IgJhPM83R
781858852685877248,2016-09-30 14:10:51 +0000,nytgraphics,"RT @adamrpearce: debate chart doodles (also first byline with @jasmineclee!)

https://t.co/NnoDwiJdjl https://t.co/8MvrhNvDHn"
781659277303898112,2016-09-30 00:57:48 +0000,nytgraphics,A debate clip of Trump attacking Clinton on her plan to defeat ISIS was replayed more on Fox than CNN or MSNBC… https://t.co/vbxyNj5oMi
781596224789118976,2016-09-29 20:47:16 +0000,nytgraphics,What happened in the NJ Transit train crash in Hoboken: https://t.co/gRr9KU5aep https://t.co/SdI406KzaS
781552888141185024,2016-09-29 17:55:03 +0000,nytgraphics,"Which Trump/Clinton debate clips were replayed most on CNN, Fox News and MSNBC https://t.co/k7WyYaoOcl https://t.co/T5LCw55jga"
781549848390696961,2016-09-29 17:42:59 +0000,nytgraphics,RT @sangerkatz: .@jshkatz shows us all the different ways you could use the same polls to get to different election predictions.… https://t.co/OmcSiIWA6f
781522746098479104,2016-09-29 15:55:17 +0000,nytgraphics,What happened in the NJ Transit train crash in Hoboken: https://t.co/gRr9KU5aep https://t.co/4JRTqdloap
781191873608224769,2016-09-28 18:00:31 +0000,nytgraphics,"Run to the smoke, search for survivors, avoid airstrikes, excavate the scene. How a rescue happens in Aleppo:… https://t.co/gGhah4mDYr"
781154003912581124,2016-09-28 15:30:02 +0000,nytgraphics,"Hundreds of thousands of Syrians are trapped, unable to get food or aid: https://t.co/ci7elknvzv https://t.co/OWdXYYhpQ4"
781144190059155456,2016-09-28 14:51:02 +0000,nytgraphics,"Minute by minute, videos capture a rescue in Aleppo: https://t.co/2UmVYcyXeK https://t.co/hOqqXTsWLv"
