gameIndex,Date,Red,Blue,Win,RRoster,BRoster
9989,2014-07-20,CNB e-Sports Club,paiN Gaming,blue,Leko • Revolta • takeshi • manajj • Alocs,Lactea • SirT • Kami • owN • Olleh
9988,2014-07-20,Team awp,KaBuM! e-Sports,blue,Element • DRAEK • yeTz • Digolera • Gigante,LEP • Danagorn • TinOwns • Minerva • dans
9987,2014-07-20,KaBuM! e-Sports,Team awp,red,LEP • Danagorn • TinOwns • Minerva • dans,Element • DRAEK • yeTz • Digolera • Gigante
9986,2014-07-20,Team awp,KaBuM! e-Sports,red,Element • DRAEK • yeTz • Digolera • Gigante,LEP • Danagorn • TinOwns • Minerva • dans
9985,2014-07-19,Keyd Stars,Ban Karma Gaming,red,Mylon • Winged • SuNo • brTT • Loop,bet0 • Xnove • FifoyZ • RMN • Floky
9984,2014-07-19,Ban Karma Gaming,Keyd Stars,blue,bet0 • Xnove • FifoyZ • RMN • Floky,Mylon • Winged • SuNo • brTT • Loop
9983,2014-07-19,CNB e-Sports Club,LegendsBR,red,Leko • Revolta • takeshi • manajj • Alocs,Kaov • Tecnosh • StoneD YoDa • DreamsDY • Anjinho
9982,2014-07-19,LegendsBR,CNB e-Sports Club,blue,Kaov • Tecnosh • StoneD YoDa • DreamsDY • Anjinho,Leko • Revolta • takeshi • manajj • Alocs
9981,2014-07-19,paiN Gaming,INTZ e-Sports,red,Lactea • SirT • Kami • owN • Olleh,Yang • Djokovic • tockers • micaO • Jockster
9980,2014-07-19,INTZ e-Sports,paiN Gaming,blue,Yang • Djokovic • tockers • micaO • Jockster,Lactea • SirT • Kami • owN • Olleh
9997,2014-05-11,CNB e-Sports Club,Team United,red,Leko • Revolta • takeshi • manajj • Alocs,w0lv • Jockster • Fire • micaO • Eryon
9996,2014-05-11,Team United,CNB e-Sports Club,blue,w0lv • Jockster • Fire • micaO • Eryon,Leko • Revolta • takeshi • manajj • Alocs
9995,2014-05-08,CNB e-Sports Club,paiN Gaming,red,Leko • Revolta • takeshi • manajj • Alocs,Venon • SirT • Kami • owN • Minerva
9994,2014-05-07,paiN Gaming,CNB e-Sports Club,red,Venon • SirT • Kami • owN • Minerva,Leko • Revolta • takeshi • manajj • Alocs
9993,2014-05-07,Team awp,Team United,red,element • Turtle • yeTz • Digolera • Gigante,w0lv • Jockster • Fire • micaO • Eryon
9992,2014-05-07,Team United,Team awp,blue,w0lv • Jockster • Fire • micaO • Eryon,element • Turtle • yeTz • Digolera • Gigante
9991,2014-05-07,Keyd Stars,CNB e-Sports Club,blue,Mylon • Winged • SuNo • brTT • Loop,Leko • Revolta • takeshi • manajj • Alocs
9990,2014-05-07,CNB e-Sports Club,Keyd Stars,blue,Leko • Revolta • takeshi • manajj • Alocs,Mylon • Winged • SuNo • brTT • Loop
9989,2014-05-07,KaBuM! e-Sports,paiN Gaming,red,LEP • Danagorn • TinOwns • dans • Espeon,Venon • SirT • Kami • owN • Minerva
9988,2014-05-07,paiN Gaming,KaBuM! e-Sports,blue,Venon • SirT • Kami • owN • Minerva,LEP • Danagorn • TinOwns • dans • Espeon
9987,2014-04-27,Keyd Stars,paiN Gaming,red,Mylon • Winged • SuNo • brTT • Loop,Venon • SirT • Kami • owN • Minerva
9986,2014-04-27,paiN Gaming,Keyd Stars,blue,Venon • SirT • Kami • owN • Minerva,Mylon • Winged • SuNo • brTT • Loop
9985,2014-04-27,CNB e-Sports Club,Team awp,blue,Leko • Revolta • takeshi • manajj • Alocs,element • Turtle • yeTz • Digolera • Gigante
9984,2014-04-27,Team awp,CNB e-Sports Club,blue,element • Turtle • yeTz • Digolera • Gigante,Leko • Revolta • takeshi • manajj • Alocs
