series,boxLink
1962-nba-western-division-finals-pistons-vs-lakers.html,196204030DET.html
1962-nba-western-division-semifinals-royals-vs-pistons.html,196203160DET.html
1962-nba-western-division-semifinals-royals-vs-pistons.html,196203170CIN.html
1962-nba-western-division-semifinals-royals-vs-pistons.html,196203180DET.html
1962-nba-western-division-semifinals-royals-vs-pistons.html,196203200CIN.html
1963-nba-eastern-division-finals-royals-vs-celtics.html,196303280BOS.html
1963-nba-eastern-division-finals-royals-vs-celtics.html,196303290CIN.html
1963-nba-eastern-division-finals-royals-vs-celtics.html,196303310BOS.html
1963-nba-eastern-division-finals-royals-vs-celtics.html,196304030CIN.html
1963-nba-eastern-division-finals-royals-vs-celtics.html,196304060BOS.html
1963-nba-eastern-division-finals-royals-vs-celtics.html,196304070CIN.html
1963-nba-eastern-division-finals-royals-vs-celtics.html,196304100BOS.html
1963-nba-eastern-division-semifinals-royals-vs-nationals.html,196303190SYR.html
1963-nba-eastern-division-semifinals-royals-vs-nationals.html,196303210CIN.html
1963-nba-eastern-division-semifinals-royals-vs-nationals.html,196303230SYR.html
1963-nba-eastern-division-semifinals-royals-vs-nationals.html,196303240CIN.html
1963-nba-eastern-division-semifinals-royals-vs-nationals.html,196303260SYR.html
1963-nba-finals-lakers-vs-celtics.html,196304140BOS.html
1963-nba-finals-lakers-vs-celtics.html,196304160BOS.html
1963-nba-finals-lakers-vs-celtics.html,196304170LAL.html
1963-nba-finals-lakers-vs-celtics.html,196304190LAL.html
1963-nba-finals-lakers-vs-celtics.html,196304210BOS.html
1963-nba-finals-lakers-vs-celtics.html,196304240LAL.html
1963-nba-western-division-finals-hawks-vs-lakers.html,196303310LAL.html
1963-nba-western-division-finals-hawks-vs-lakers.html,196304020LAL.html
1963-nba-western-division-finals-hawks-vs-lakers.html,196304040STL.html
1963-nba-western-division-finals-hawks-vs-lakers.html,196304060STL.html
1963-nba-western-division-finals-hawks-vs-lakers.html,196304070LAL.html
1963-nba-western-division-finals-hawks-vs-lakers.html,196304090STL.html
1963-nba-western-division-finals-hawks-vs-lakers.html,196304110LAL.html
1963-nba-western-division-semifinals-pistons-vs-hawks.html,196303200STL.html
1963-nba-western-division-semifinals-pistons-vs-hawks.html,196303220STL.html
1963-nba-western-division-semifinals-pistons-vs-hawks.html,196303240DET.html
1963-nba-western-division-semifinals-pistons-vs-hawks.html,196303260DET.html
1964-nba-eastern-division-finals-royals-vs-celtics.html,196403310BOS.html
1964-nba-eastern-division-finals-royals-vs-celtics.html,196404020BOS.html
1964-nba-eastern-division-finals-royals-vs-celtics.html,196404050CIN.html
1964-nba-eastern-division-finals-royals-vs-celtics.html,196404070CIN.html
1964-nba-eastern-division-finals-royals-vs-celtics.html,196404090BOS.html
1964-nba-eastern-division-semifinals-76ers-vs-royals.html,196403220CIN.html
1964-nba-eastern-division-semifinals-76ers-vs-royals.html,196403240PHI.html
